input,org,city,region,country,orcid
Vince Carey,Harvard Medical School,Boston,MA,US,0000-0003-4046-0063
Levi Waldron,CUNY School of Public Health,New York,NY,US,0000-0003-2725-0694
Charlotte Soneson,FMI,Basel,NA,CH,0000-0003-3833-2169
Aedin Culhane,University of Limerick,Limerick,Limerick,IE,0000-0002-1395-9734
Sean Davis,University of Colorado Anschutz Medical Campus,Aurora,Colorado,US,0000-0002-8991-6458
Laurent Gatto,Université Catholique de Louvain,Louvain-la-Neuve,NA,BE,0000-0002-1520-2268
Robert Gentleman,Harvard Medical School,Boston,MA,US,0000-0003-4505-9893
Shila Ghazanfar,Cancer Research UK Cambridge Institute,Cambridge,NA,GB,0000-0001-7861-6997
Kasper Daniel Hansen,Johns Hopkins University,Baltimore,MD,US,0000-0003-0086-0687
Stephanie Hicks,Johns Hopkins Bloomberg School of Public Health,Baltimore,MD,US,0000-0002-7858-0231
Wolfgang Huber,EMBL,Heidelberg,NA,DE,0000-0002-0474-2218
Rafael Irizarry,Dana-Farber Cancer Institute,Boston,NA,NA,0000-0002-3944-4309
Lori Shepherd,Roswell Park Cancer Institute,Buffalo,NY,US,0000-0002-5910-4010
Michael Love,University of North Carolina at Chapel Hill,Chapel Hill,NC,US,0000-0001-8401-0545
Davide Risso,University of Padua,Padova,Veneto,IT,0000-0001-8508-5012
